trial_type,trial_choice_set,side_correct,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,target,competitor,decoy,correct,tc_correct,target_side,competitor_side,correct_dist_to_mean,stim_1,stim_2,stim_3
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,9.25,13.25,7.25,NA,both,left,right,2,235.55497192820818,286.31854059731165,213.65530333624324
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,13.25,9.25,15.25,NA,both,right,left,2,235.55497192820818,286.31854059731165,315.6661910085361
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,10.25,12.25,8.25,NA,both,left,right,1,247.3327205246186,272.68432437839203,224.33806850305538
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,12.25,10.25,14.25,NA,both,right,left,1,247.3327205246186,272.68432437839203,300.63446762717723
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,13.25,8.25,10.25,target,left,right,1,247.3327205246186,286.31854059731165,224.33806850305538
attraction,trinary,left,difficult,10.25,13.25,15.25,13.25,10.25,15.25,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,315.6661910085361
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,14.25,8.25,10.25,target,left,right,1,247.3327205246186,300.63446762717723,224.33806850305538
attraction,trinary,left,easy,10.25,14.25,16.25,14.25,10.25,16.25,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,331.44950055896294
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,8.25,14.25,12.25,target,right,left,1,272.68432437839203,224.33806850305538,300.63446762717723
attraction,trinary,right,easy,12.25,8.25,6.25,8.25,12.25,6.25,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,203.4812412726126
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,9.25,14.25,12.25,target,right,left,1,272.68432437839203,235.55497192820818,300.63446762717723
attraction,trinary,right,difficult,12.25,9.25,7.25,9.25,12.25,7.25,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,213.65530333624324
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,9.25,13.25,NA,NA,both,left,right,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,13.25,9.25,NA,NA,both,right,left,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,10.25,12.25,NA,NA,both,left,right,1,247.3327205246186,272.68432437839203,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,12.25,10.25,NA,NA,both,right,left,1,247.3327205246186,272.68432437839203,0
attraction,binary,left,difficult,10.25,13.25,0,10.25,13.25,NA,10.25,target,left,right,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,difficult,10.25,13.25,0,13.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,easy,10.25,14.25,0,10.25,14.25,NA,10.25,target,left,right,1,247.3327205246186,300.63446762717723,0
attraction,binary,left,easy,10.25,14.25,0,14.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,0
attraction,binary,right,easy,12.25,8.25,0,12.25,8.25,NA,12.25,target,right,left,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,easy,12.25,8.25,0,8.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,difficult,12.25,9.25,0,12.25,9.25,NA,12.25,target,right,left,1,272.68432437839203,235.55497192820818,0
attraction,binary,right,difficult,12.25,9.25,0,9.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,0
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,9.25,13.25,7.25,NA,both,left,right,2,235.55497192820818,286.31854059731165,213.65530333624324
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,13.25,9.25,15.25,NA,both,right,left,2,235.55497192820818,286.31854059731165,315.6661910085361
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,10.25,12.25,8.25,NA,both,left,right,1,247.3327205246186,272.68432437839203,224.33806850305538
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,12.25,10.25,14.25,NA,both,right,left,1,247.3327205246186,272.68432437839203,300.63446762717723
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,13.25,8.25,10.25,target,left,right,1,247.3327205246186,286.31854059731165,224.33806850305538
attraction,trinary,left,difficult,10.25,13.25,15.25,13.25,10.25,15.25,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,315.6661910085361
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,14.25,8.25,10.25,target,left,right,1,247.3327205246186,300.63446762717723,224.33806850305538
attraction,trinary,left,easy,10.25,14.25,16.25,14.25,10.25,16.25,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,331.44950055896294
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,8.25,14.25,12.25,target,right,left,1,272.68432437839203,224.33806850305538,300.63446762717723
attraction,trinary,right,easy,12.25,8.25,6.25,8.25,12.25,6.25,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,203.4812412726126
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,9.25,14.25,12.25,target,right,left,1,272.68432437839203,235.55497192820818,300.63446762717723
attraction,trinary,right,difficult,12.25,9.25,7.25,9.25,12.25,7.25,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,213.65530333624324
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,9.25,13.25,NA,NA,both,left,right,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,13.25,9.25,NA,NA,both,right,left,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,10.25,12.25,NA,NA,both,left,right,1,247.3327205246186,272.68432437839203,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,12.25,10.25,NA,NA,both,right,left,1,247.3327205246186,272.68432437839203,0
attraction,binary,left,difficult,10.25,13.25,0,10.25,13.25,NA,10.25,target,left,right,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,difficult,10.25,13.25,0,13.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,easy,10.25,14.25,0,10.25,14.25,NA,10.25,target,left,right,1,247.3327205246186,300.63446762717723,0
attraction,binary,left,easy,10.25,14.25,0,14.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,0
attraction,binary,right,easy,12.25,8.25,0,12.25,8.25,NA,12.25,target,right,left,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,easy,12.25,8.25,0,8.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,difficult,12.25,9.25,0,12.25,9.25,NA,12.25,target,right,left,1,272.68432437839203,235.55497192820818,0
attraction,binary,right,difficult,12.25,9.25,0,9.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,0
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,9.25,13.25,7.25,NA,both,left,right,2,235.55497192820818,286.31854059731165,213.65530333624324
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,13.25,9.25,15.25,NA,both,right,left,2,235.55497192820818,286.31854059731165,315.6661910085361
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,10.25,12.25,8.25,NA,both,left,right,1,247.3327205246186,272.68432437839203,224.33806850305538
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,12.25,10.25,14.25,NA,both,right,left,1,247.3327205246186,272.68432437839203,300.63446762717723
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,13.25,8.25,10.25,target,left,right,1,247.3327205246186,286.31854059731165,224.33806850305538
attraction,trinary,left,difficult,10.25,13.25,15.25,13.25,10.25,15.25,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,315.6661910085361
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,14.25,8.25,10.25,target,left,right,1,247.3327205246186,300.63446762717723,224.33806850305538
attraction,trinary,left,easy,10.25,14.25,16.25,14.25,10.25,16.25,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,331.44950055896294
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,8.25,14.25,12.25,target,right,left,1,272.68432437839203,224.33806850305538,300.63446762717723
attraction,trinary,right,easy,12.25,8.25,6.25,8.25,12.25,6.25,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,203.4812412726126
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,9.25,14.25,12.25,target,right,left,1,272.68432437839203,235.55497192820818,300.63446762717723
attraction,trinary,right,difficult,12.25,9.25,7.25,9.25,12.25,7.25,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,213.65530333624324
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,9.25,13.25,NA,NA,both,left,right,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,13.25,9.25,NA,NA,both,right,left,2,235.55497192820818,286.31854059731165,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,10.25,12.25,NA,NA,both,left,right,1,247.3327205246186,272.68432437839203,0
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,12.25,10.25,NA,NA,both,right,left,1,247.3327205246186,272.68432437839203,0
attraction,binary,left,difficult,10.25,13.25,0,10.25,13.25,NA,10.25,target,left,right,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,difficult,10.25,13.25,0,13.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,286.31854059731165,0
attraction,binary,left,easy,10.25,14.25,0,10.25,14.25,NA,10.25,target,left,right,1,247.3327205246186,300.63446762717723,0
attraction,binary,left,easy,10.25,14.25,0,14.25,10.25,NA,10.25,competitor,right,left,1,247.3327205246186,300.63446762717723,0
attraction,binary,right,easy,12.25,8.25,0,12.25,8.25,NA,12.25,target,right,left,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,easy,12.25,8.25,0,8.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,224.33806850305538,0
attraction,binary,right,difficult,12.25,9.25,0,12.25,9.25,NA,12.25,target,right,left,1,272.68432437839203,235.55497192820818,0
attraction,binary,right,difficult,12.25,9.25,0,9.25,12.25,NA,12.25,competitor,left,right,1,272.68432437839203,235.55497192820818,0
