trial_type,trial_choice_set,side_correct,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,correct,tc_correct,target_side,competitor_side,correct_dist_to_mean,option,jnds,dens,option_abbrev
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,NA,both,left,right,2,target,9.25,0.09228103818051278,T
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,NA,both,left,right,2,competitor,13.25,0.09228103818051278,C
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,7.25,NA,both,left,right,2,decoy,7.25,0.060230087324566535,D
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,NA,both,right,left,2,target,13.25,0.09228103818051278,T
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,NA,both,right,left,2,competitor,9.25,0.09228103818051278,C
attraction,trinary,equal,equal_chance_2_JND,9.25,13.25,15.25,NA,both,right,left,2,decoy,15.25,0.060230087324566535,D
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,NA,both,left,right,1,target,10.25,0.10266849989227039,T
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,NA,both,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,8.25,NA,both,left,right,1,decoy,8.25,0.07725108073639539,D
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,NA,both,right,left,1,target,12.25,0.10266849989227039,T
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,NA,both,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,trinary,equal,equal_chance_1_JND,10.25,12.25,14.25,NA,both,right,left,1,decoy,14.25,0.07725108073639539,D
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,target,left,right,1,target,10.25,0.10266849989227039,T
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,target,left,right,1,competitor,13.25,0.09228103818051278,C
attraction,trinary,left,difficult,10.25,13.25,8.25,10.25,target,left,right,1,decoy,8.25,0.07725108073639539,D
attraction,trinary,left,difficult,10.25,13.25,15.25,10.25,competitor,right,left,1,target,13.25,0.09228103818051278,T
attraction,trinary,left,difficult,10.25,13.25,15.25,10.25,competitor,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,trinary,left,difficult,10.25,13.25,15.25,10.25,competitor,right,left,1,decoy,15.25,0.060230087324566535,D
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,target,left,right,1,target,10.25,0.10266849989227039,T
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,target,left,right,1,competitor,14.25,0.07725108073639539,C
attraction,trinary,left,easy,10.25,14.25,8.25,10.25,target,left,right,1,decoy,8.25,0.07725108073639539,D
attraction,trinary,left,easy,10.25,14.25,16.25,10.25,competitor,right,left,1,target,14.25,0.07725108073639539,T
attraction,trinary,left,easy,10.25,14.25,16.25,10.25,competitor,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,trinary,left,easy,10.25,14.25,16.25,10.25,competitor,right,left,1,decoy,16.25,0.0437360199135983,D
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,target,right,left,1,target,12.25,0.10266849989227039,T
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,target,right,left,1,competitor,8.25,0.07725108073639539,C
attraction,trinary,right,easy,12.25,8.25,14.25,12.25,target,right,left,1,decoy,14.25,0.07725108073639539,D
attraction,trinary,right,easy,12.25,8.25,6.25,12.25,competitor,left,right,1,target,8.25,0.07725108073639539,T
attraction,trinary,right,easy,12.25,8.25,6.25,12.25,competitor,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,trinary,right,easy,12.25,8.25,6.25,12.25,competitor,left,right,1,decoy,6.25,0.0437360199135983,D
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,target,right,left,1,target,12.25,0.10266849989227039,T
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,target,right,left,1,competitor,9.25,0.09228103818051278,C
attraction,trinary,right,difficult,12.25,9.25,14.25,12.25,target,right,left,1,decoy,14.25,0.07725108073639539,D
attraction,trinary,right,difficult,12.25,9.25,7.25,12.25,competitor,left,right,1,target,9.25,0.09228103818051278,T
attraction,trinary,right,difficult,12.25,9.25,7.25,12.25,competitor,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,trinary,right,difficult,12.25,9.25,7.25,12.25,competitor,left,right,1,decoy,7.25,0.060230087324566535,D
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,left,right,2,target,9.25,0.09228103818051278,T
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,left,right,2,competitor,13.25,0.09228103818051278,C
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,left,right,2,decoy,NA,NA,D
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,right,left,2,target,13.25,0.09228103818051278,T
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,right,left,2,competitor,9.25,0.09228103818051278,C
attraction,binary,equal,equal_chance_2_JND,9.25,13.25,0,NA,both,right,left,2,decoy,NA,NA,D
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,left,right,1,target,10.25,0.10266849989227039,T
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,left,right,1,decoy,NA,NA,D
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,right,left,1,target,12.25,0.10266849989227039,T
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,binary,equal,equal_chance_1_JND,10.25,12.25,0,NA,both,right,left,1,decoy,NA,NA,D
attraction,binary,left,difficult,10.25,13.25,0,10.25,target,left,right,1,target,10.25,0.10266849989227039,T
attraction,binary,left,difficult,10.25,13.25,0,10.25,target,left,right,1,competitor,13.25,0.09228103818051278,C
attraction,binary,left,difficult,10.25,13.25,0,10.25,target,left,right,1,decoy,NA,NA,D
attraction,binary,left,difficult,10.25,13.25,0,10.25,competitor,right,left,1,target,13.25,0.09228103818051278,T
attraction,binary,left,difficult,10.25,13.25,0,10.25,competitor,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,binary,left,difficult,10.25,13.25,0,10.25,competitor,right,left,1,decoy,NA,NA,D
attraction,binary,left,easy,10.25,14.25,0,10.25,target,left,right,1,target,10.25,0.10266849989227039,T
attraction,binary,left,easy,10.25,14.25,0,10.25,target,left,right,1,competitor,14.25,0.07725108073639539,C
attraction,binary,left,easy,10.25,14.25,0,10.25,target,left,right,1,decoy,NA,NA,D
attraction,binary,left,easy,10.25,14.25,0,10.25,competitor,right,left,1,target,14.25,0.07725108073639539,T
attraction,binary,left,easy,10.25,14.25,0,10.25,competitor,right,left,1,competitor,10.25,0.10266849989227039,C
attraction,binary,left,easy,10.25,14.25,0,10.25,competitor,right,left,1,decoy,NA,NA,D
attraction,binary,right,easy,12.25,8.25,0,12.25,target,right,left,1,target,12.25,0.10266849989227039,T
attraction,binary,right,easy,12.25,8.25,0,12.25,target,right,left,1,competitor,8.25,0.07725108073639539,C
attraction,binary,right,easy,12.25,8.25,0,12.25,target,right,left,1,decoy,NA,NA,D
attraction,binary,right,easy,12.25,8.25,0,12.25,competitor,left,right,1,target,8.25,0.07725108073639539,T
attraction,binary,right,easy,12.25,8.25,0,12.25,competitor,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,binary,right,easy,12.25,8.25,0,12.25,competitor,left,right,1,decoy,NA,NA,D
attraction,binary,right,difficult,12.25,9.25,0,12.25,target,right,left,1,target,12.25,0.10266849989227039,T
attraction,binary,right,difficult,12.25,9.25,0,12.25,target,right,left,1,competitor,9.25,0.09228103818051278,C
attraction,binary,right,difficult,12.25,9.25,0,12.25,target,right,left,1,decoy,NA,NA,D
attraction,binary,right,difficult,12.25,9.25,0,12.25,competitor,left,right,1,target,9.25,0.09228103818051278,T
attraction,binary,right,difficult,12.25,9.25,0,12.25,competitor,left,right,1,competitor,12.25,0.10266849989227039,C
attraction,binary,right,difficult,12.25,9.25,0,12.25,competitor,left,right,1,decoy,NA,NA,D
