date,sub_n,screen_id,trial_type,response,rt
20211110,100,enter-sub-number,survey-html-form,"{""""response"""":""""100""""}",81442
20211110,100,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""because it's the longest line """"}",29254
20211110,100,,survey-text,"{""""learn_free_response"""":""""I tried to evaluate the line as short, medium or long """"}",25976
20211110,100,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",16550
20211110,100,,survey-text,"{""""transfer_free_response"""":""""I picked the shortest or longest line when there were 3 lines depending on the length of the other lines. """"}",74230
20211110,100,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",9586
20211110,101,enter-sub-number,survey-html-form,"{""""response"""":""""101""""}",133038
20211110,101,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""target"""",""""response"""":""""guessed""""}",17422
20211110,101,,survey-text,"{""""learn_free_response"""":""""guessed""""}",40152
20211110,101,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",5464
20211110,101,,survey-text,"{""""transfer_free_response"""":""""pattern""""}",17170
20211110,101,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick the longest line.""""}",5822
20211110,102,enter-sub-number,survey-html-form,"{""""response"""":""""102""""}",159694
20211110,102,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It is the longest and many of the medium lines were not in the catagory. """"}",44764
20211110,102,,survey-text,"{""""learn_free_response"""":""""At first, I guessed a little bit with which lines would belong, but I payed attention to weather my guesses were right or wrong. After getting the hang of which lines belonged in the catagory I got a better understanding and began to know rather then guess. I still got many wrong. """"}",89230
20211110,102,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",14596
20211110,102,,survey-text,"{""""transfer_free_response"""":""""I tried to remeber which lines I had seen before in the first part, and also eariler in the same part and pick those. I found this hard and still got many wrong because the lines looked alike. """"}",50372
20211110,102,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",11274
20211110,103,enter-sub-number,survey-html-form,"{""""response"""":""""103""""}",3260
20211110,103,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""taller then other two""""}",15328
20211110,103,,survey-text,"{""""learn_free_response"""":""""okay it was harder then second part""""}",15350
20211110,103,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",6180
20211110,103,,survey-text,"{""""transfer_free_response"""":""""comparing if a line was a lot taller or a lot shorter""""}",20152
20211110,103,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",10510
20211110,104,enter-sub-number,survey-html-form,"{""""response"""":""""104""""}",3638
20211110,104,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""decoy"""",""""response"""":""""Because it is not long""""}",51088
20211110,104,,survey-text,"{""""learn_free_response"""":""""I generally wend with what felt right. That included avoiding lines that were not logestbut not short.""""}",78724
20211110,104,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",29790
20211110,104,,survey-text,"{""""transfer_free_response"""":""""I tended twords what felt right but that was generally saying less to shorter lines if they were with medium to log lines and long lines if they were with medium to long lines.""""}",74792
20211110,104,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",27900
20211110,105,enter-sub-number,survey-html-form,"{""""response"""":""""105""""}",2900
20211110,105,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""the line in the category were very unequal, short line is very short and long lines are very long. I chose it because its longer than the rest""""}",72509
20211110,105,,survey-text,"{""""learn_free_response"""":""""I use my feelings half of the time, the other half was more obvious and I can tell for sure which is which""""}",56286
20211110,105,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",12039
20211110,105,,survey-text,"{""""transfer_free_response"""":""""I chose the lines that are more extreme than others, which means very long and very short. The ones that were about the same I used my feelins""""}",60177
20211110,105,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",14198
20211112,106,enter-sub-number,survey-html-form,"{""""response"""":""""106""""}",2024
20211112,106,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It's longer than the others and that's how I characterized most of the lines in the category""""}",48608
20211112,106,,survey-text,"{""""learn_free_response"""":""""I compared relative lengths of the lines""""}",23782
20211112,106,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",20474
20211112,106,,survey-text,"{""""transfer_free_response"""":""""I tried to use the feedback and memorize the lines in the category from the beginning""""}",33014
20211112,106,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",19750
20211112,107,enter-sub-number,survey-html-form,"{""""response"""":""""107""""}",1480
20211112,107,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""the category originaly contained larger lines and option L seem to fit that""""}",53638
20211112,107,,survey-text,"{""""learn_free_response"""":""""The category contaiend the largest and smallest lines, so when those were sown thats what i picked. The middle sized lines were harder to choose because they always looked the same""""}",62440
20211112,107,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",17708
20211112,107,,survey-text,"{""""transfer_free_response"""":""""seeing the lines side y side made it slightly easier to picked, but i still remembered that i was looking for the longest and shortest lines.""""}",54958
20211112,107,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",15642
20211115,108,enter-sub-number,survey-html-form,"{""""response"""":""""108""""}",1700
20211115,108,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""decoy"""",""""response"""":""""K looks small enouygh""""}",55992
20211115,108,,survey-text,"{""""learn_free_response"""":""""Long or short = categopry""""}",59752
20211115,108,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",28282
20211115,108,,survey-text,"{""""transfer_free_response"""":""""Same""""}",9922
20211115,108,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",26924
20211115,109,enter-sub-number,survey-html-form,"{""""response"""":""""109""""}",2806
20211115,109,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""L because its the most extreme in this example""""}",33622
20211115,109,,survey-text,"{""""learn_free_response"""":""""I was using the plus sign to somewhat understand weather or not the line was an extreme, I also tried memorising the lines""""}",41312
20211115,109,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",30468
20211115,109,,survey-text,"{""""transfer_free_response"""":""""I tried choosing either the most extreme or using the plus sign as a guide I chose the more fitting one (tried memorising the length of it).""""}",43634
20211115,109,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to memorize which kinds of lines were in the category and which types of lines were not in the category.""""}",12730
20211115,111,enter-sub-number,survey-html-form,"{""""response"""":""""111""""}",3464
20211115,111,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It's the tallest line and the in category seemed like it had longer lines in it.""""}",29647
20211115,111,,survey-text,"{""""learn_free_response"""":""""I kept my cursor in one spot on the line and saw how the length changed in relation to where my cursor was. I also just kinda guessed. Long and very short were \""""in\"""" and anything in the middle was \""""out\"""".""""}",58263
20211115,111,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",8184
20211115,111,,survey-text,"{""""transfer_free_response"""":""""I compared the lines height to each other and selected the ones that were much taller or much smaller. When it came to sets where there wasn't much difference, I always chose the tallest or smallest- depending on how long the lines were. If the lines were all short, I picked the shortest one and so forth.""""}",54306
20211115,111,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",7386
20211115,112,enter-sub-number,survey-html-form,"{""""response"""":""""112""""}",4212
20211115,112,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""its the longest""""}",19430
20211115,112,,survey-text,"{""""learn_free_response"""":""""I rememebred that very short and very long lines were apart of the category""""}",40838
20211115,112,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",15216
20211115,112,,survey-text,"{""""transfer_free_response"""":""""I did the same thing I remembered that very long and very short lines were apart of the category. However when it came to the medium length lines i found that more difficult.""""}",52426
20211115,112,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",13086
20211116,113,enter-sub-number,survey-html-form,"{""""response"""":""""113""""}",5268
20211116,113,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""Generally had longer lines and fewer \""""middle\"""" length lines""""}",19608
20211116,113,,survey-text,"{""""learn_free_response"""":""""mostly ignored the middle lines as they seemed indiscirnable, and picked only the long and short lines""""}",27630
20211116,113,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",11490
20211116,113,,survey-text,"{""""transfer_free_response"""":""""pattern recognition for the most part, but if there were 2 long lines the longer line was generally the answer and if there were a couple really short lines then the shortest line was the right answer. as for the mid lines if there were 2 usuall picked the slightly longer oneand that was generally correct""""}",51790
20211116,113,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",16328
20211116,114,enter-sub-number,survey-html-form,"{""""response"""":""""114""""}",4604
20211116,114,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""Other lines are a little longer than the expected""""}",46330
20211116,114,,survey-text,"{""""learn_free_response"""":""""It was not easy to know which line during the first few trials but after a few it was easier to guess""""}",65042
20211116,114,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",11338
20211116,114,,survey-text,"{""""transfer_free_response"""":""""Intuition""""}",12316
20211116,114,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",6142
20211116,115,enter-sub-number,survey-html-form,"{""""response"""":""""115""""}",3065
20211116,115,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""I chose this option because usually the longest line belongs in the category""""}",37932
20211116,115,,survey-text,"{""""learn_free_response"""":""""I chose the longest or smallest lines since I remember those typicaally belong in the category while the middle lines usuualy did not belong in the category""""}",80750
20211116,115,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",7921
20211116,115,,survey-text,"{""""transfer_free_response"""":""""When comparing the lines I picked the longest or the shortest ones""""}",46641
20211116,115,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",8791
20211116,116,enter-sub-number,survey-html-form,"{""""response"""":""""116""""}",2525
20211116,116,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""longer one tended to fit the catagory""""}",30877
20211116,116,,survey-text,"{""""learn_free_response"""":""""I tried to remember what I saw before the task started and tried to figure out which ones resembled the picture.""""}",79171
20211116,116,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",9392
20211116,116,,survey-text,"{""""transfer_free_response"""":""""The second task I tried to remember which I learned fit the catagory and choose the one I thought resembled what I was taught.""""}",68790
20211116,116,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to memorize which kinds of lines were in the category and which types of lines were not in the category.""""}",25939
20211116,117,enter-sub-number,survey-html-form,"{""""response"""":""""117""""}",3542
20211116,117,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""decoy"""",""""response"""":""""I found that sometimes the answer was the shortest option.""""}",32294
20211116,117,,survey-text,"{""""learn_free_response"""":""""At that point I believed the category was very short or very long lines, and the medium lines were not in the category. """"}",32092
20211116,117,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",10284
20211116,117,,survey-text,"{""""transfer_free_response"""":""""Usually if there was a very long or very short line it was in the category. The medium length lines I more guessed""""}",26398
20211116,117,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",11398
20211116,118,enter-sub-number,survey-html-form,"{""""response"""":""""118""""}",17242
20211116,118,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""I knew that in the category there were really long lines, and L is really long compared to others presented.""""}",42268
20211116,118,,survey-text,"{""""learn_free_response"""":""""basically just trying to compare sizes such as ones that i felt like looked really long were in the category along with really short ones, and ones that were sort of in the middle I related to not being in the category.""""}",69366
20211116,118,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",12992
20211116,118,,survey-text,"{""""transfer_free_response"""":""""I compared the sizes in front of me and tried to remember what was in what category using the sizes of the lines.""""}",34436
20211116,118,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to memorize which kinds of lines were in the category and which types of lines were not in the category.""""}",28612
20211116,119,enter-sub-number,survey-html-form,"{""""response"""":""""119""""}",2824
20211116,119,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""decoy"""",""""response"""":""""it is the longest""""}",11284
20211116,119,,survey-text,"{""""learn_free_response"""":""""if it was rly long or rly short i said yes""""}",17634
20211116,119,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",10040
20211116,119,,survey-text,"{""""transfer_free_response"""":""""compared length""""}",7164
20211116,119,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",6264
20211118,125,enter-sub-number,survey-html-form,"{""""response"""":""""125""""}",46048
20211118,125,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""it seemed like the furthest from the average length""""}",34202
20211118,125,,survey-text,"{""""learn_free_response"""":""""a lot of guesses, on the super long or super short ones i was pretty sure they were i the category but the middle ones i wasn't sure""""}",43430
20211118,125,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",7631
20211118,125,,survey-text,"{""""transfer_free_response"""":""""usually picked either the shortest or longest one in sets of three, in sets of two i was guessing at first then going off memory if the same two lines had been shown before""""}",41392
20211118,125,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",12168
20211118,126,enter-sub-number,survey-html-form,"{""""response"""":""""126""""}",43466
20211118,126,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It is the tallest and most extreme line""""}",26510
20211118,126,,survey-text,"{""""learn_free_response"""":""""If the lines were either appearing very short or very tall then I put them in the category""""}",37508
20211118,126,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",9832
20211118,126,,survey-text,"{""""transfer_free_response"""":""""I chose whichever line appeared to be the most extreme (either really tall or really short) to put in the category""""}",35010
20211118,126,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",9654
20211118,127,enter-sub-number,survey-html-form,"{""""response"""":""""127""""}",38649
20211118,127,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""I feel like lines J and K are very mid sized, which I found did not go into the category.""""}",55894
20211118,127,,survey-text,"{""""learn_free_response"""":""""I was guessing quite a bit, until I was able to find some patterns in size, which still didn't always work.""""}",43168
20211118,127,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",19944
20211118,127,,survey-text,"{""""transfer_free_response"""":""""I was comparing the lines to see their sizes compared to each other. """"}",30582
20211118,127,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to memorize which kinds of lines were in the category and which types of lines were not in the category.""""}",11794
20211118,128,enter-sub-number,survey-html-form,"{""""response"""":""""128""""}",2622
20211118,128,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It reminds me of the first line I saw. The other lines are medium and I can't remember which one looks like the one in the picture from the beginning.""""}",38005
20211118,128,,survey-text,"{""""learn_free_response"""":""""I tried  to remember what it looked like. It was hard but the medium ones were more of a guessing game whereas if they were really small or really tall it was easier to define.""""}",32751
20211118,128,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",9986
20211118,128,,survey-text,"{""""transfer_free_response"""":""""I tried to remember which ones were shown. When there were multiple lines I could compare them to one another so it made it easie rto remember which lines were in picture from before.""""}",37016
20211118,128,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick the longest line.""""}",6107
20211118,129,enter-sub-number,survey-html-form,"{""""response"""":""""129""""}",2846
20211118,129,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""the lines that belong in the category were either really short line or the biggest line out of the three that were presented. L is the biggest here so I would assume that it fits the category""""}",89820
20211118,129,,survey-text,"{""""learn_free_response"""":""""I was able to depict the frequency of the lines in each tril presented. There was either the biggest line available or the smallest line and it jsut depended on what other lines I was looking at. If it was close I would pick the tallest one but if there was one that was significantly smaller I would go with the smaller option""""}",88090
20211118,129,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",21002
20211118,129,,survey-text,"{""""transfer_free_response"""":""""I was able to see which line compared to the others and based off size, most of the really tall ones fit the category and most of the really small ones also fit the category """"}",57540
20211118,129,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",21574
20211118,130,enter-sub-number,survey-html-form,"{""""response"""":""""130""""}",1032
20211118,130,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It's the longest """"}",15916
20211118,130,,survey-text,"{""""learn_free_response"""":""""I tried remembering how long and short the correct answers were, and comparing them""""}",33751
20211118,130,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",9601
20211118,130,,survey-text,"{""""transfer_free_response"""":""""I eliminated one always, and chose between the two left or chose the lone option""""}",20544
20211118,130,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick the longest line.""""}",4682
20211118,131,enter-sub-number,survey-html-form,"{""""response"""":""""131""""}",1420
20211118,131,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It was the longest line and I memorized that the category had a lot of long lines.""""}",38140
20211118,131,,survey-text,"{""""learn_free_response"""":""""II looked at the length and if it was really small or reallu long I knew it was in the category.""""}",33402
20211118,131,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",13460
20211118,131,,survey-text,"{""""transfer_free_response"""":""""I compared the length of of the lines""""}",15206
20211118,131,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",16250
20211118,132,enter-sub-number,survey-html-form,"{""""response"""":""""132""""}",2015
20211118,132,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""length""""}",8330
20211118,132,,survey-text,"{""""learn_free_response"""":""""length""""}",11038
20211118,132,,survey-multi-choice,"{""""learn_strategy"""":""""I used a simple mental rule to determine if I should respond yes or no to a given line.""""}",7269
20211118,132,,survey-text,"{""""transfer_free_response"""":""""length""""}",7319
20211118,132,,survey-multi-choice,"{""""transfer_strategy"""":""""I used my intuition/my experience receiving feedback to figure out which line was most likely to be in the category.""""}",9025
20211118,133,enter-sub-number,survey-html-form,"{""""response"""":""""133""""}",16161
20211118,133,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It was significantly bigger than j and k """"}",32493
20211118,133,,survey-text,"{""""learn_free_response"""":""""the extremely big and small lines stood out to me as being in the category, the middle sized lines were very ambigous to me so I guessed most of those""""}",56038
20211118,133,,survey-multi-choice,"{""""learn_strategy"""":""""I used my intuition/my experience receiving feedback to figure out if the line was likely to be in the category.""""}",19928
20211118,133,,survey-text,"{""""transfer_free_response"""":""""The line that was the biggest or the smallest """"}",20992
20211118,133,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",14090
20211118,134,enter-sub-number,survey-html-form,"{""""response"""":""""134""""}",2709
20211119,135,enter-sub-number,survey-html-form,"{""""response"""":""""135""""}",2162
20211119,135,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""It is the longest line and I noticefd the category had short and long lines""""}",40442
20211119,135,,survey-text,"{""""learn_free_response"""":""""I guess really long and really short ones were in the category and medium was not.""""}",37574
20211119,135,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",16663
20211119,135,,survey-text,"{""""transfer_free_response"""":""""I chose the longest or shortest line""""}",17888
20211119,135,,survey-multi-choice,"{""""transfer_strategy"""":""""I tried to pick a line that was either very short or very long.""""}",10376
20211119,136,enter-sub-number,survey-html-form,"{""""response"""":""""136""""}",2722
20211119,136,attr_eff_example,survey-html-form,"{""""example_attr_eff_choice"""":""""competitor"""",""""response"""":""""it is the longest""""}",21298
20211119,136,,survey-text,"{""""learn_free_response"""":""""I chose lines that were one extreme or the other (in height) as in the category""""}",46716
20211119,136,,survey-multi-choice,"{""""learn_strategy"""":""""I tried to memorize which kinds of lines were in the category and which kinds of lines were not in the category.""""}",15338
