trial_choice_set,side_correct,difficulty,stim_1_psy,stim_2_psy,stim_3_psy,target,competitor,decoy,transfer_trial_type,correct_1_psy,correct_2_psy,tc_correct,target_side,competitor_side,stim_1_phy,stim_2_phy,stim_3_phy,correct_1_phy,correct_2_phy,target_phy,competitor_phy,decoy_phy
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,308.05865883261595,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,308.05865883261595
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,6.75,15.75,7.75,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,218.9315374172648,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,218.9315374172648
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,323.4615917742468,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,323.4615917742468
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,5.75,16.75,6.75,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,208.50622611168075,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,208.50622611168075
trinary,left,easy,4.75,15.75,5.75,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,198.5773582016007,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,198.5773582016007
trinary,left,easy,4.75,15.75,14.75,15.75,4.75,14.75,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,308.05865883261595,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,308.05865883261595
trinary,left,difficult,5.75,15.75,6.75,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,208.50622611168075,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,208.50622611168075
trinary,left,difficult,5.75,15.75,14.75,15.75,5.75,14.75,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,308.05865883261595,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,308.05865883261595
trinary,right,difficult,16.75,6.75,15.75,16.75,6.75,15.75,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,323.4615917742468,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,323.4615917742468
trinary,right,difficult,16.75,6.75,7.75,6.75,16.75,7.75,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,218.9315374172648,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,218.9315374172648
trinary,right,easy,17.75,6.75,16.75,17.75,6.75,16.75,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,339.6346713629591,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,339.6346713629591
trinary,right,easy,17.75,6.75,7.75,6.75,17.75,7.75,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,218.9315374172648,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,218.9315374172648
binary,equal,equal_chance_5_JND,15.75,6.75,0,15.75,6.75,NA,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,0,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,NA
binary,equal,equal_chance_5_JND,15.75,6.75,0,6.75,15.75,NA,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,0,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,16.75,5.75,NA,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,0,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,5.75,16.75,NA,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,0,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,NA
binary,left,easy,4.75,15.75,0,4.75,15.75,NA,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,NA
binary,left,easy,4.75,15.75,0,15.75,4.75,NA,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,NA
binary,left,difficult,5.75,15.75,0,5.75,15.75,NA,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,NA
binary,left,difficult,5.75,15.75,0,15.75,5.75,NA,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,NA
binary,right,difficult,16.75,6.75,0,16.75,6.75,NA,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,NA
binary,right,difficult,16.75,6.75,0,6.75,16.75,NA,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,NA
binary,right,easy,17.75,6.75,0,17.75,6.75,NA,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,NA
binary,right,easy,17.75,6.75,0,6.75,17.75,NA,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,NA
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,308.05865883261595,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,308.05865883261595
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,6.75,15.75,7.75,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,218.9315374172648,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,218.9315374172648
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,323.4615917742468,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,323.4615917742468
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,5.75,16.75,6.75,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,208.50622611168075,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,208.50622611168075
trinary,left,easy,4.75,15.75,5.75,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,198.5773582016007,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,198.5773582016007
trinary,left,easy,4.75,15.75,14.75,15.75,4.75,14.75,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,308.05865883261595,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,308.05865883261595
trinary,left,difficult,5.75,15.75,6.75,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,208.50622611168075,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,208.50622611168075
trinary,left,difficult,5.75,15.75,14.75,15.75,5.75,14.75,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,308.05865883261595,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,308.05865883261595
trinary,right,difficult,16.75,6.75,15.75,16.75,6.75,15.75,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,323.4615917742468,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,323.4615917742468
trinary,right,difficult,16.75,6.75,7.75,6.75,16.75,7.75,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,218.9315374172648,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,218.9315374172648
trinary,right,easy,17.75,6.75,16.75,17.75,6.75,16.75,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,339.6346713629591,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,339.6346713629591
trinary,right,easy,17.75,6.75,7.75,6.75,17.75,7.75,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,218.9315374172648,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,218.9315374172648
binary,equal,equal_chance_5_JND,15.75,6.75,0,15.75,6.75,NA,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,0,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,NA
binary,equal,equal_chance_5_JND,15.75,6.75,0,6.75,15.75,NA,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,0,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,16.75,5.75,NA,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,0,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,5.75,16.75,NA,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,0,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,NA
binary,left,easy,4.75,15.75,0,4.75,15.75,NA,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,NA
binary,left,easy,4.75,15.75,0,15.75,4.75,NA,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,NA
binary,left,difficult,5.75,15.75,0,5.75,15.75,NA,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,NA
binary,left,difficult,5.75,15.75,0,15.75,5.75,NA,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,NA
binary,right,difficult,16.75,6.75,0,16.75,6.75,NA,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,NA
binary,right,difficult,16.75,6.75,0,6.75,16.75,NA,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,NA
binary,right,easy,17.75,6.75,0,17.75,6.75,NA,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,NA
binary,right,easy,17.75,6.75,0,6.75,17.75,NA,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,NA
trinary,equal,equal_chance_5_JND,15.75,6.75,14.75,15.75,6.75,14.75,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,308.05865883261595,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,308.05865883261595
trinary,equal,equal_chance_5_JND,15.75,6.75,7.75,6.75,15.75,7.75,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,218.9315374172648,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,218.9315374172648
trinary,equal,equal_chance_6_JND,16.75,5.75,15.75,16.75,5.75,15.75,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,323.4615917742468,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,323.4615917742468
trinary,equal,equal_chance_6_JND,16.75,5.75,6.75,5.75,16.75,6.75,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,208.50622611168075,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,208.50622611168075
trinary,left,easy,4.75,15.75,5.75,4.75,15.75,5.75,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,198.5773582016007,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,198.5773582016007
trinary,left,easy,4.75,15.75,14.75,15.75,4.75,14.75,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,308.05865883261595,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,308.05865883261595
trinary,left,difficult,5.75,15.75,6.75,5.75,15.75,6.75,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,208.50622611168075,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,208.50622611168075
trinary,left,difficult,5.75,15.75,14.75,15.75,5.75,14.75,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,308.05865883261595,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,308.05865883261595
trinary,right,difficult,16.75,6.75,15.75,16.75,6.75,15.75,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,323.4615917742468,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,323.4615917742468
trinary,right,difficult,16.75,6.75,7.75,6.75,16.75,7.75,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,218.9315374172648,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,218.9315374172648
trinary,right,easy,17.75,6.75,16.75,17.75,6.75,16.75,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,339.6346713629591,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,339.6346713629591
trinary,right,easy,17.75,6.75,7.75,6.75,17.75,7.75,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,218.9315374172648,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,218.9315374172648
binary,equal,equal_chance_5_JND,15.75,6.75,0,15.75,6.75,NA,attraction,15.75,6.75,both,right,left,323.4615917742468,208.50622611168075,0,323.4615917742468,208.50622611168075,323.4615917742468,208.50622611168075,NA
binary,equal,equal_chance_5_JND,15.75,6.75,0,6.75,15.75,NA,attraction,6.75,15.75,both,left,right,323.4615917742468,208.50622611168075,0,208.50622611168075,323.4615917742468,208.50622611168075,323.4615917742468,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,16.75,5.75,NA,attraction,16.75,5.75,both,right,left,339.6346713629591,198.5773582016007,0,339.6346713629591,198.5773582016007,339.6346713629591,198.5773582016007,NA
binary,equal,equal_chance_6_JND,16.75,5.75,0,5.75,16.75,NA,attraction,5.75,16.75,both,left,right,339.6346713629591,198.5773582016007,0,198.5773582016007,339.6346713629591,198.5773582016007,339.6346713629591,NA
binary,left,easy,4.75,15.75,0,4.75,15.75,NA,attraction,4.75,4.75,target,left,right,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,189.121293525334,323.4615917742468,NA
binary,left,easy,4.75,15.75,0,15.75,4.75,NA,attraction,4.75,4.75,competitor,right,left,189.121293525334,323.4615917742468,0,189.121293525334,189.121293525334,323.4615917742468,189.121293525334,NA
binary,left,difficult,5.75,15.75,0,5.75,15.75,NA,attraction,5.75,5.75,target,left,right,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,198.5773582016007,323.4615917742468,NA
binary,left,difficult,5.75,15.75,0,15.75,5.75,NA,attraction,5.75,5.75,competitor,right,left,198.5773582016007,323.4615917742468,0,198.5773582016007,198.5773582016007,323.4615917742468,198.5773582016007,NA
binary,right,difficult,16.75,6.75,0,16.75,6.75,NA,attraction,16.75,16.75,target,right,left,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,339.6346713629591,208.50622611168075,NA
binary,right,difficult,16.75,6.75,0,6.75,16.75,NA,attraction,16.75,16.75,competitor,left,right,339.6346713629591,208.50622611168075,0,339.6346713629591,339.6346713629591,208.50622611168075,339.6346713629591,NA
binary,right,easy,17.75,6.75,0,17.75,6.75,NA,attraction,17.75,17.75,target,right,left,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,356.6164049311071,208.50622611168075,NA
binary,right,easy,17.75,6.75,0,6.75,17.75,NA,attraction,17.75,17.75,competitor,left,right,356.6164049311071,208.50622611168075,0,356.6164049311071,356.6164049311071,208.50622611168075,356.6164049311071,NA
trinary,left,NA,0.1794655821286142,9.858227870427072,10.963747156783938,NA,NA,NA,filler_easy,0.1794655821286142,0.1794655821286142,NA,NA,NA,151.31919037150374,242.64994527341378,256.097522137542,151.31919037150374,151.31919037150374,NA,NA,NA
trinary,left,NA,1.6434486187063158,10.018901102244854,9.564582356251776,NA,NA,NA,filler_easy,1.6434486187063158,1.6434486187063158,NA,NA,NA,162.52298241359117,244.55961997594505,239.19828144826442,162.52298241359117,162.52298241359117,NA,NA,NA
trinary,left,NA,0.29759773472324014,9.862110913731158,9.753055192530155,NA,NA,NA,filler_easy,0.29759773472324014,0.29759773472324014,NA,NA,NA,152.19386509419203,242.69592070884727,241.40800240501534,152.19386509419203,152.19386509419203,NA,NA,NA
binary,left,NA,0.7302952818572521,12.466017307713628,0,NA,NA,NA,filler_easy,0.7302952818572521,0.7302952818572521,NA,NA,NA,155.44104389518495,275.5734846804046,0,155.44104389518495,155.44104389518495,NA,NA,NA
binary,left,NA,1.4361282554455101,10.728925049304962,0,NA,NA,NA,filler_easy,1.4361282554455101,1.4361282554455101,NA,NA,NA,160.88731730789186,253.18015454230772,0,160.88731730789186,160.88731730789186,NA,NA,NA
binary,left,NA,1.928191023413092,12.053202633745968,0,NA,NA,NA,filler_easy,1.928191023413092,1.928191023413092,NA,NA,NA,164.7966106267474,270.078600437334,0,164.7966106267474,164.7966106267474,NA,NA,NA
trinary,right,NA,22.396924895700067,9.972228456288576,10.11242008395493,NA,NA,NA,filler_easy,22.396924895700067,22.396924895700067,NA,NA,NA,447.3695275463917,244.00335070919758,245.67804783696016,447.3695275463917,447.3695275463917,NA,NA,NA
trinary,right,NA,20.8536696000956,11.50621932465583,11.051494166254997,NA,NA,NA,filler_easy,20.8536696000956,20.8536696000956,NA,NA,NA,414.92146336583266,262.96623079524727,257.19627485068776,414.92146336583266,414.92146336583266,NA,NA,NA
trinary,right,NA,21.92278305767104,13.17780586797744,9.537993834353983,NA,NA,NA,filler_easy,21.92278305767104,21.92278305767104,NA,NA,NA,437.13911199856494,285.31179670512415,238.88818066463264,437.13911199856494,437.13911199856494,NA,NA,NA
binary,right,NA,21.921286928933114,9.93049688078463,0,NA,NA,NA,filler_easy,21.921286928933114,21.921286928933114,NA,NA,NA,437.1072035962411,243.50704325928072,0,437.1072035962411,437.1072035962411,NA,NA,NA
binary,right,NA,21.170148187782615,10.263330875895917,0,NA,NA,NA,filler_easy,21.170148187782615,21.170148187782615,NA,NA,NA,421.37800277747,247.49364191746764,0,421.37800277747,421.37800277747,NA,NA,NA
binary,right,NA,20.69244228536263,9.57900587003678,0,NA,NA,NA,filler_easy,20.69244228536263,20.69244228536263,NA,NA,NA,411.6703675137887,239.3666706466501,0,411.6703675137887,411.6703675137887,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,left,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,left,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trinary,right,NA,-1,1,1,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binary,right,NA,-1,1,0,NA,NA,NA,filler_sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
