angle,radius,distribution
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
9.007481291446904,-0.8039631529375555,in
14.210989506510227,-1.5294005700737348,in
13.229797709053823,0.4513802455533673,in
12.737777159119396,1.849063164127176,in
12.063083611868969,3.1782225414553693,in
11.227402273050874,4.396138101514637,in
10.25759262849562,5.463665036100415,in
9.18482515814125,6.346492151171027,in
8.043579491160965,7.016244656855532,in
6.870536202311567,7.451396156547033,in
5.703397868079931,7.637960523001592,in
4.5796772748528545,7.569941423975708,in
3.5354917270970527,7.249525049278358,in
2.604402207476128,6.687009844831788,in
1.8163346992537102,5.9004755121459675,in
1.1966183405681543,4.9152019118360215,in
0.765171325091951,3.7628565481017198,in
0.535860714898293,2.48047674908641,in
1.6548564940319883,1.2066949902970432,in
1.706302283738574,-0.22113006230422894,in
2.7337945700194908,-2.670928714651091,in
3.1436681459284617,-3.9555705385795554,in
4.574414474656153,-4.877996704971727,in
5.410408928217671,-5.429028616061521,in
5.3875847282721505,-5.761795991131629,in
6.398492364525792,-6.3933175702034575,in
7.572351333589433,-6.6290669068398005,in
8.74341057753417,-6.841334329116112,in
9.935865195644633,-6.839823895277692,in
11.11138871533984,-6.624584151910877,in
12.973598792073963,-6.653086551148176,in
13.919842441833291,-5.986845606436548,in
14.396512746016363,-5.188251853499944,in
14.969577157523023,-4.528897739748405,in
15.486622136972535,-3.8174450352446705,in
15.630358650457783,-2.4279270795095327,in
20.590330990558506,-1.0928397319712726,in
21.120139430521675,4.859022335856449,in
6.49477313572542,13.929434400009931,in
6.270791039372246,12.254064587493259,in
-4.43958333527344,1.2606120224167965,in
-1.063465045415659,-10.183299696127822,in
9.177647168035456,-16.07892918380527,in
22.588063720887185,-12.634455871883391,in
-20.842753078591127,-36.888499526511154,out
-22.210234653473467,-27.698818368561078,out
-21.00998230026505,-18.617692406781693,out
-23.17032025206286,-15.22155438572815,out
-25.433726431067914,-0.9316694651110762,out
-25.292404239041907,5.570659379673206,out
-25.16737649141279,13.169831676379049,out
-25.058643188180547,21.86584742500645,out
-26.294780008712905,25.667639801519073,out
-17.24471419265992,38.31900658427885,out
-11.78582208024834,-47.197680703838124,out
-13.812272383799925,-28.246246339748183,out
-14.288613478956966,-19.47458557765478,out
-16.069895102635517,-14.688104953522283,out
-17.061671513130054,-1.8583481192367435,out
-15.419678965306815,4.051809714461715,out
-15.294651217677695,11.650982011167557,out
-16.347707353605657,22.15151605243173,out
-18.6683632621767,25.713185250766657,out
-11.583444559734769,36.83671150240366,out
-3.854444583879955,-37.839221398100115,out
-6.434931347647433,-28.781314995157256,out
-7.5340638445339785,-22.722185913912718,out
-10.263682963265863,-11.91897290044424,out
-8.738777844830643,-3.5251588907673015,out
-7.852248158403224,3.6403921327033943,out
-7.600140067035215,11.694194659990844,out
-8.016341662390321,20.515013962939946,out
-1.169140360761046,32.49794715537812,out
-8.810507338659605,32.408384833021515,out
2.445590474011155,-44.223463273306976,out
0.7392373788061692,-28.914009578536476,out
-1.111262319915331,-19.72442278821913,out
-2.8055088356799116,-12.009141647974065,out
-1.8523404138595856,-4.389030609965644,out
4.27347324699249,6.007728652127032,out
4.525581338360497,14.061531179414452,out
-2.0501054093002016,19.209515251994798,out
4.241814584780475,30.918040937323827,out
-0.24546216365207335,33.671082465078506,out
8.482838572689262,-36.182860173267784,out
7.5356811303297615,-29.700414454373103,out
6.173584842075229,-19.771069576527797,out
5.105865120429851,-11.146735308234629,out
6.114295859669902,-4.832077509787723,out
2.8704971925047977,4.486526510096149,out
2.6682770602801194,12.272299646954123,out
6.037685057187335,18.83794285628725,out
3.827699077715467,25.577048104177866,out
4.864990227353816,34.05894972914791,out
15.814236485509353,-36.00645033495694,out
15.252390304013378,-29.03999515872205,out
13.5531166782269,-20.094585633892002,out
12.48539695658152,-11.470251365598834,out
13.025192845037619,-4.993799379121333,out
10.05835695583985,3.72320622143093,out
9.856136823615172,11.508979358288904,out
12.681528246918012,18.119568039973444,out
10.666189960932318,24.89192609766373,out
11.703481110570666,33.37382772263378,out
27.695271192012214,-39.60484773105104,out
22.352837018490987,-28.524941711473254,out
21.47255583340901,-20.72029373829057,out
25.010484020477833,-14.909939338890695,out
20.108047035704146,-5.168712931235677,out
22.61441415512852,-0.8825523523480734,out
22.63761899309335,6.694119077527753,out
19.704269112200674,18.00041494305433,out
27.418378437931832,29.46373480794052,out
19.320478500441766,31.816697210984586,out
30.196844954817227,-38.42373928377126,out
29.47450101209327,-28.500388839415404,out
27.2483058253611,-23.481083052806287,out
33.382538938415706,-15.836617993016356,out
27.244247082947368,-4.697625317003384,out
28.98449307038132,2.284283767778492,out
29.00769790834615,9.860955197654345,out
27.109139678637415,17.883415225571724,out
36.12931427250674,29.749403435365785,out
23.36890523035653,29.002069923950394,out
43.87461261554665,-40.51029713256434,out
36.79756880098823,-29.771139915849886,out
35.06883424933929,-19.817664678486338,out
32.57345504512133,-16.400270800355912,out
32.72297051958462,-5.590898628938346,out
36.680631202501125,1.9470375679473575,out
35.936128847199285,8.96505744637653,out
32.53668263572355,16.95289847687365,out
28.363126476199433,20.641221259659716,out
33.69840665686778,31.528177237945208,out
45.13982813678973,-35.30081098171357,out
43.93279297301265,-27.77754947601366,out
42.169259398766634,-19.284215246280475,out
39.2948238664294,-17.257163971228994,out
40.18114464717057,-5.681067376468167,out
41.731478803889154,2.8781336236090143,out
40.98697644858731,9.896153502038187,out
37.94763758126505,15.372992258819348,out
34.02439610912457,19.158926177784515,out
41.32482340340398,31.573722687192795,out
